stadium_id,stadium_name,surface,surface_raw,source_url,wikipedia_url,transfermarkt_url,notes
831,Dinamo Stadium,GRASS,Natural grass,https://www.transfermarkt.com/dinamo-minsk/stadion/verein/1180,https://en.wikipedia.org/wiki/Dinamo_Stadium_(Minsk),https://www.transfermarkt.com/dinamo-minsk/stadion/verein/1180,transfermarkt: surface mapped
996,Doha Stadium,GRASS,Natural grass Contact Address: Doha Stadium 1 Sakhnin Blvd. 20173 Sakhnin Israe,https://www.transfermarkt.com/ihud-bnei-sachnin/stadion/verein/4769,https://en.wikipedia.org/wiki/Doha_Stadium,https://www.transfermarkt.com/ihud-bnei-sachnin/stadion/verein/4769,transfermarkt fallback: surface mapped
95,Domenico Francioni,GRASS,Natural grass,https://www.transfermarkt.com/latina-calcio-1932/stadion/verein/22045/saison_id/2025,https://en.wikipedia.org/wiki/Stadio_Domenico_Francioni,https://www.transfermarkt.com/latina-calcio-1932/stadion/verein/22045/saison_id/2025,transfermarkt: surface mapped
97,Domenico Monterisi,GRASS,Natural grass,https://www.transfermarkt.com/audace-cerignola/stadion/verein/22249/saison_id/2025,,https://www.transfermarkt.com/audace-cerignola/stadion/verein/22249/saison_id/2025,transfermarkt: surface mapped
100,Donato Curcio,ARTIFICIAL,Artificial turf,https://www.transfermarkt.com/az-picerno/stadion/verein/49430/saison_id/2025,,https://www.transfermarkt.com/az-picerno/stadion/verein/49430/saison_id/2025,transfermarkt: surface mapped
883,Donaustadion,GRASS,Natural grass,https://www.transfermarkt.com/ssv-ulm-1846/stadion/verein/69,https://en.wikipedia.org/wiki/Donaustadion,https://www.transfermarkt.com/ssv-ulm-1846/stadion/verein/69,transfermarkt: surface mapped
350,Dr. Constantin Rădulescu,GRASS,Natural grass,https://www.transfermarkt.com/cfr-cluj/stadion/verein/7769,https://en.wikipedia.org/wiki/Cluj_Arena,https://www.transfermarkt.com/cfr-cluj/stadion/verein/7769,transfermarkt: surface mapped
65,Druso,GRASS,Natural grass,https://www.transfermarkt.com/fc-sudtirol/stadion/verein/4554/saison_id/2025,https://en.wikipedia.org/wiki/Stadio_Druso,https://www.transfermarkt.com/fc-sudtirol/stadion/verein/4554/saison_id/2025,transfermarkt: surface mapped
1046,Eduard Streltsov Stadium,GRASS,Natural grass,https://www.transfermarkt.com/torpedo-moscow/stadion/verein/1186/saison_id/2025,https://en.wikipedia.org/wiki/Eduard_Streltsov_Stadium,https://www.transfermarkt.com/torpedo-moscow/stadion/verein/1186/saison_id/2025,transfermarkt: surface mapped
871,Eilenriedestadion,,,https://en.wikipedia.org/wiki/Eilenriedestadion,https://en.wikipedia.org/wiki/Eilenriedestadion,https://www.transfermarkt.com/tsv-havelse/stadion/verein/476,wikipedia: no infobox
445,El Alcoraz,GRASS,Natural grass,https://www.transfermarkt.com/sd-huesca/stadion/verein/5358,https://en.wikipedia.org/wiki/Estadio_El_Alcoraz,https://www.transfermarkt.com/sd-huesca/stadion/verein/5358,transfermarkt: surface mapped
