id,name,country,proposed_type,confidence,evidence,source,wikipedia_url
902,Stade Geoffroy Guichard,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_Geoffroy-Guichard
903,Stade de l'Aube,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_de_l%27Aube
904,Bingoal Stadion,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/ADO_Den_Haag_Stadium
905,Yanmar Stadion,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Yanmar_Stadion
906,Cambuur Stadion,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Cambuur_Stadion
907,Stadion De Vijverberg,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/De_Vijverberg
908,Stadion De Vliert,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/De_Vliert
909,Stadion Krommedijk,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadion_Krommedijk
910,Jan Louwers Stadion,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Jan_Louwers_Stadion
911,De Oude Meerdijk,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/De_Oude_Meerdijk
912,GS Staalwerken Stadion,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/GS_Staalwerken_Stadion
913,Sportpark De Toekomst,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Sportpark_De_Toekomst
915,De Herdgang,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/De_Herdgang
917,Stadion De Geusselt,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/De_Geusselt
918,Parkstad Limburg Stadion,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Parkstad_Limburg_Stadion
919,Frans Heesen Stadion,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Frans_Heesen_Stadion
920,GelreDome,Netherlands,RETRACTABLE,high,retractable roof,primary,https://en.wikipedia.org/wiki/GelreDome
921,Covebo Stadion - De Koel,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/De_Koel
922,Koning Willem II Stadion,Netherlands,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Koning_Willem_II_Stadion
923,Estádio do Fontelo,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_do_Fontelo
924,Benfica Campus,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Benfica_Campus
925,Estádio Municipal de Chaves,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_Municipal_Eng._Manuel_Branco_Teixeira
926,Estádio de São Luís,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_de_S%C3%A3o_Lu%C3%ADs
927,Estádio Marcolino de Castro,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_Marcolino_de_Castro
929,Estádio do Mar,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_do_Mar
931,Estádio do Marítimo,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_do_Mar%C3%ADtimo
932,Estádio Carlos Osório,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_Carlos_Os%C3%B3rio
933,Estádio Capital do Móvel,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_Capital_do_M%C3%B3vel
934,Estádio Municipal 25 de Abril,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_Municipal_25_de_Abril
935,Estádio Municipal de Portimão,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_Municipal_de_Portim%C3%A3o
936,CTFD PortoGaia,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/CTFD_PortoGaia
938,Estádio Manuel Marques,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_Manuel_Marques
939,Estádio Dr. Magalhães Pessoa,Portugal,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Est%C3%A1dio_Dr._Magalh%C3%A3es_Pessoa
941,Campo Municipal de Gobela,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Campo_Municipal_de_Gobela
943,Estadio Román Suárez Puerta,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Rom%C3%A1n_Su%C3%A1rez_Puerta
945,Lezama,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Lezama_Facilities
946,Estadio Príncipe Felipe,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Pr%C3%ADncipe_Felipe
947,Estadio Pedro Escartín,Mexico,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Pedro_Escart%C3%ADn
948,Estadio Anxo Carro,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Anxo_Carro
949,Estadio Romano,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Romano
950,Tajonar,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Tajonar_Facilities
952,Estadio El Toralín,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_El_Toral%C3%ADn
953,Estadio de Pasarón,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Municipal_de_Pasar%C3%B3n
954,Estadio da Malata,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Municipal_de_A_Malata
955,Estadio Alfredo Di Stéfano,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Alfredo_Di_St%C3%A9fano_Stadium
957,Estadio Heliodoro Rodríguez López,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Heliodoro_Rodr%C3%ADguez_L%C3%B3pez
959,Estadio Ruta de la Plata,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Ruta_de_la_Plata
960,Estadio Santo Domingo,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Municipal_de_Santo_Domingo
961,Nuevo Mirador,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Nuevo_Mirador
967,Estadio Pepico Amat,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Nuevo_Pepico_Amat
968,Nou Sardenya,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Nou_Sardenya
969,Nou Estadi,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Nou_Estadi_Costa_Daurada
